Stage,Mean (s),Std (s),Min (s),Max (s),Percentage (%)
Stage A - Structured Parser,3.87,1.64,2.49,11.38,13.7
Stage B - Facet Classifier,4.29,0.98,2.92,6.96,15.2
Stage C - KB Mapping,10.65,4.40,2.67,21.92,37.7
Stage D - Constraint Extraction,0.00,0.00,0.00,0.00,0.0
Stage E-1 - Merge Logic,0.00,0.00,0.00,0.00,0.0
Stage E-2 - IDS Builder,9.46,2.44,4.24,15.83,33.5
Total,28.27,6.19,14.63,39.70,100.0

Success Rate Statistics
Category,Success Rate (%)
Overall,100.00
Simple,100.00
Medium,100.00
Complex,100.00
